iter,amp,temp_eV,m0,m2
1,133.489434322,25141.1582175,3.764794e+20,1.566823e+06
2,124.577128779,23453.2934502,3.396596e+20,1.322015e+06
3,128.86265217,25930.2049379,3.689440e+20,1.581961e+06
4,124.603395976,25129.3486513,3.513378e+20,1.461526e+06
5,124.602621621,25130.2302223,3.513416e+20,1.461592e+06
6,124.602446221,25130.4406885,3.513425e+20,1.461607e+06
7,124.60236455,25130.538296,3.513430e+20,1.461615e+06
8,124.602317163,25130.592153,3.513432e+20,1.461619e+06
9,124.60228977,25130.6264567,3.513434e+20,1.461621e+06
10,124.602263391,25130.6524622,3.513435e+20,1.461623e+06
11,124.602244743,25130.6713693,3.513435e+20,1.461624e+06
12,124.602233234,25130.6860253,3.513436e+20,1.461625e+06
13,124.602221848,25130.6980815,3.513437e+20,1.461626e+06
14,124.602210561,25130.7080264,3.513437e+20,1.461627e+06
15,124.602203941,25130.7155851,3.513437e+20,1.461628e+06
16,124.60220125,25130.7211349,3.513438e+20,1.461628e+06
17,124.602194843,25130.7268221,3.513438e+20,1.461628e+06
18,124.602188874,25130.7321209,3.513438e+20,1.461629e+06
19,124.602186039,25130.7359406,3.513438e+20,1.461629e+06
20,124.602183374,25130.7395307,3.513438e+20,1.461629e+06
