iter,amp,temp_eV,m0,m2
1,31019560.5328,18149.4757841,2.461775e+20,9.548523e+05
2,44271060.5357,27782.1838957,4.811319e+20,2.538396e+06
3,32328712.9839,15997.2562454,2.311445e+20,8.147725e+05
4,41596209.8957,20168.9427313,3.588419e+20,1.504842e+06
5,41185278.236,19997.5789096,3.529540e+20,1.470918e+06
6,41137545.8741,19977.1899589,3.522656e+20,1.466951e+06
7,41118512.7428,19969.012829,3.519906e+20,1.465366e+06
8,41108257.4126,19964.5895905,3.518422e+20,1.464510e+06
9,41101840.2935,19961.8160961,3.517493e+20,1.463974e+06
10,41097444.8615,19959.9134796,3.516857e+20,1.463606e+06
11,41094241.0523,19958.529136,3.516393e+20,1.463339e+06
12,41091806.8484,19957.473782,3.516040e+20,1.463135e+06
13,41089892.6975,19956.6439587,3.515763e+20,1.462975e+06
14,41088347.5089,19955.9740567,3.515539e+20,1.462846e+06
15,41087075.2286,19955.4213288,3.515354e+20,1.462739e+06
16,41086008.7534,19954.9582137,3.515199e+20,1.462650e+06
17,41085103.1677,19954.5636317,3.515068e+20,1.462574e+06
18,41084322.8867,19954.2242024,3.514955e+20,1.462509e+06
19,41083644.595,19953.9284951,3.514856e+20,1.462452e+06
20,41083049.7806,19953.6687125,3.514770e+20,1.462402e+06
