iter,amp,temp_eV,m0,m2
1,39176953.8393,19732.71764,3.236718e+20,1.338731e+06
2,42526382.7866,21544.2845202,3.757450e+20,1.656400e+06
3,39764715.169,19011.0169267,3.190592e+20,1.284051e+06
4,42292977.1248,19902.6040955,3.517523e+20,1.464017e+06
5,42271078.8278,19892.6532337,3.514337e+20,1.462157e+06
6,42268390.6414,19891.4271884,3.513945e+20,1.461929e+06
7,42267347.0732,19890.9415253,3.513792e+20,1.461839e+06
8,42266787.1441,19890.6834757,3.513710e+20,1.461791e+06
9,42266438.9031,19890.523116,3.513659e+20,1.461761e+06
10,42266200.6892,19890.4142723,3.513625e+20,1.461741e+06
11,42266026.5986,19890.3353296,3.513599e+20,1.461726e+06
12,42265895.7351,19890.2753134,3.513580e+20,1.461715e+06
13,42265793.3282,19890.2279679,3.513565e+20,1.461706e+06
1,42265710.1851,19890.190226,3.513553e+20,1.461699e+06
2,42265641.7342,19890.1591428,3.513543e+20,1.461693e+06
3,42265584.0515,19890.1333816,3.513535e+20,1.461688e+06
4,42265534.0984,19890.1119075,3.513528e+20,1.461684e+06
5,42265491.196,19890.0933553,3.513522e+20,1.461681e+06
6,42265454.7988,19890.0766275,3.513516e+20,1.461677e+06
7,42265422.2443,19890.0626519,3.513512e+20,1.461675e+06
8,42265393.7536,19890.0498449,3.513507e+20,1.461672e+06
9,42265368.5681,19890.0386769,3.513504e+20,1.461670e+06
10,42265345.3672,19890.0288164,3.513501e+20,1.461668e+06
11,42265323.9556,19890.0201347,3.513498e+20,1.461667e+06
12,42265305.5915,19890.0116395,3.513495e+20,1.461665e+06
13,42265288.6392,19890.004156,3.513492e+20,1.461664e+06
14,42265274.2814,19889.9967916,3.513490e+20,1.461662e+06
15,42265260.0409,19889.9906313,3.513488e+20,1.461661e+06
16,42265247.1092,19889.9848378,3.513486e+20,1.461660e+06
17,42265235.3868,19889.9793832,3.513485e+20,1.461659e+06
18,42265223.883,19889.9745294,3.513483e+20,1.461658e+06
19,42265213.4526,19889.9699573,3.513482e+20,1.461657e+06
20,42265203.1818,19889.965915,3.513480e+20,1.461657e+06
