iter,amp,temp_eV,m0,m2
1,30854916.3067,18497.8733719,3.112499e+20,1.244676e+06
2,30829825.7573,19231.1540356,3.210554e+20,1.322798e+06
3,29863933.4627,18812.7236799,3.054616e+20,1.237497e+06
4,29551497.3607,19478.1135386,3.109458e+20,1.293703e+06
5,29553337.1446,19479.6533485,3.109850e+20,1.293944e+06
6,29553576.4038,19479.8548874,3.109902e+20,1.293976e+06
7,29553669.4609,19479.9334588,3.109922e+20,1.293988e+06
8,29553717.4105,19479.9769069,3.109932e+20,1.293994e+06
9,29553746.7977,19480.0053264,3.109939e+20,1.293999e+06
10,29553769.0109,19480.0227183,3.109944e+20,1.294002e+06
