iter,amp,temp_eV,m0,m2
1,200,25000,3.374980e+20,8.135015e+32
2,187.979662102,23609.3449121,3.083213e+20,7.024884e+32
3,193.401308758,25819.4547042,3.316358e+20,8.251587e+32
4,187.530509442,25120.428313,3.172124e+20,7.682303e+32
5,187.529832371,25120.7456704,3.172133e+20,7.682419e+32
6,187.529646992,25120.8256615,3.172135e+20,7.682448e+32
7,187.529561496,25120.861797,3.172135e+20,7.682461e+32
8,187.529528797,25120.8808871,3.172136e+20,7.682468e+32
9,187.529501406,25120.8939103,3.172136e+20,7.682473e+32
10,187.529487394,25120.9024793,3.172137e+20,7.682476e+32
1,187.529468419,25120.9096778,3.326843e+20,1.384072e+06
2,149.786443694,34461.853237,3.110190e+20,1.758089e+06
3,149.605892767,34524.4754787,3.109250e+20,1.760668e+06
4,149.524685736,34561.8556891,3.109238e+20,1.762518e+06
5,149.470028065,34587.120195,3.109232e+20,1.763770e+06
6,149.428791918,34606.2233761,3.109229e+20,1.764717e+06
7,149.395660461,34621.5911602,3.109227e+20,1.765479e+06
8,149.367958807,34634.4518672,3.109225e+20,1.766117e+06
9,149.344152097,34645.5136991,3.109224e+20,1.766666e+06
10,149.323273438,34655.2200927,3.109223e+20,1.767148e+06
