iter,amp,temp_eV,m0,m2
1,187.529468419,25120.9096778,3.326843e+20,1.384072e+06
2,175.304528257,23486.4046404,3.007544e+20,1.172695e+06
3,181.274644759,25916.2001482,3.266160e+20,1.400325e+06
4,175.297438993,25122.9550953,3.109968e+20,1.293946e+06
5,175.294420925,25123.8240395,3.109968e+20,1.293990e+06
6,175.293712749,25124.0277836,3.109968e+20,1.294000e+06
7,175.293392058,25124.1200461,3.109968e+20,1.294004e+06
8,175.293200944,25124.1750172,3.109968e+20,1.294007e+06
9,175.293081002,25124.2095054,3.109968e+20,1.294009e+06
10,175.293000234,25124.2327212,3.109968e+20,1.294010e+06
1,187.529468419,25120.9096778,3.326843e+20,1.384072e+06
2,175.29297378,25124.2403065,3.109968e+20,1.294010e+06
3,175.292920197,25124.2557041,3.109968e+20,1.294011e+06
4,175.292879361,25124.2674347,3.109968e+20,1.294012e+06
5,175.292848887,25124.276184,3.109968e+20,1.294012e+06
6,175.29282102,25124.2841852,3.109968e+20,1.294012e+06
7,175.292795348,25124.2915559,3.109968e+20,1.294013e+06
8,175.292776661,25124.296917,3.109968e+20,1.294013e+06
9,175.292759245,25124.3019131,3.109968e+20,1.294013e+06
10,175.29274294,25124.3065909,3.109968e+20,1.294014e+06
