iter,amp,temp_eV,m0,m2
1,193.893947813,25117.3014755,3.208952e+20,1.334869e+06
2,187.913053808,24348.6109645,3.062204e+20,1.236216e+06
3,190.844104762,25487.0570031,3.181545e+20,1.342263e+06
4,187.88992678,25123.5138868,3.109968e+20,1.294002e+06
5,187.889255461,25123.6939944,3.109968e+20,1.294011e+06
6,187.889094528,25123.737104,3.109968e+20,1.294013e+06
7,187.889019106,25123.7572822,3.109968e+20,1.294014e+06
8,187.888976128,25123.7687645,3.109968e+20,1.294014e+06
9,187.888940775,25123.7782096,3.109968e+20,1.294015e+06
10,187.888922051,25123.7831967,3.109968e+20,1.294015e+06
