iter,amp,temp_eV,m0,m2
1,30961810.1861,18050.8476708,2.288836e+20,8.907277e+05
1,30961810.1861,18050.8476708,2.288836e+20,8.907277e+05
2,42069522.8414,26223.6115328,4.123313e+20,2.113301e+06
3,35967802.4489,21325.2799721,3.031968e+20,1.336288e+06
4,37691468.2953,19325.4840266,2.943198e+20,1.205701e+06
5,39175437.5606,19731.6490947,3.109704e+20,1.293852e+06
6,39176369.4343,19732.2985266,3.109859e+20,1.293948e+06
7,39176606.522,19732.4741011,3.109899e+20,1.293974e+06
8,39176723.0719,19732.5510322,3.109918e+20,1.293986e+06
9,39176791.3648,19732.5938937,3.109929e+20,1.293992e+06
10,39176831.4418,19732.6242053,3.109936e+20,1.293996e+06
1,39176857.543,19732.646701,3.109941e+20,1.294000e+06
2,39176879.7487,19732.6611398,3.109944e+20,1.294002e+06
3,39176897.7499,19732.6721462,3.109947e+20,1.294003e+06
4,39176909.2993,19732.6825705,3.109949e+20,1.294005e+06
5,39176920.7506,19732.6897607,3.109951e+20,1.294006e+06
6,39176929.5401,19732.696048,3.109953e+20,1.294007e+06
7,39176936.0855,19732.701574,3.109954e+20,1.294008e+06
8,39176942.5365,19732.7058131,3.109955e+20,1.294008e+06
9,39176946.8505,19732.7103581,3.109956e+20,1.294009e+06
10,39176951.2237,19732.7138418,3.109957e+20,1.294009e+06
